task_id,tokens_before,tokens_after,reduction_pct,compression_ms,baseline_pass,baseline_answer,llmlingua_pass,llmlingua_answer
hotpot_5a85b2d95542997b5ce40028,3176,1492,53.0,15235,True,"Eenasul Fateh, also known by his stage name Aladin, is a Ban",True,Eenasul Fateh was known by his stage name Aladin and helped 
hotpot_5a87ab905542996e4f3088c1,5229,2433,53.5,13260,False,"The Androscoggin Bank Colisée, where the Lewiston Maineiacs ",False,"The Androscoggin Bank Colisée, where the Lewiston Maineiacs "
hotpot_5a7166395542994082a3e814,3476,1649,52.6,11886,True,"The fight song of the University of Kansas is called ""Kansas",True,"The fight song of the University of Kansas is called ""Kansas"
hotpot_5ab56e32554299637185c594,4938,2324,52.9,14390,False,"Yes, both Random House Tower and 888 7th Avenue are used for",False,"Yes, both Random House Tower and 888 7th Avenue are used for"
hotpot_5ae0d4c9554299603e418468,3093,1470,52.5,11550,False,Roger O. Egeberg served as Assistant Secretary for Health an,False,Roger O. Egeberg served as Assistant Secretary for Health an
hotpot_5adddccd5542997dc7907069,3808,1800,52.7,11150,False,The Front Row media program can also be controlled by the Ap,False,The Front Row media program.
hotpot_5abf63f15542997ec76fd3ea,3168,1470,53.6,10595,False,The Russian Civil War ended in 1923.,False,The Russian Civil War ended in 1923.
hotpot_5ab2d3df554299194fa9352c,3238,1477,54.4,10650,True,"The battle in which Giuseppe Arimondi lost his life, the Bat",True,The battle in which Giuseppe Arimondi lost his life secured 
hotpot_5a760ab65542994ccc918697,4414,2082,52.8,11585,True,Alfred Balk served as the secretary of the Committee on the ,False,Alfred Balk served as the secretary of the Committee on the 
hotpot_5ab859a955429934fafe6d7b,4053,1901,53.1,11100,True,"The writer of the song ""To Know Him Is to Love Him,"" inspire",True,The writer of the song inspired by words on a tombstone and 
hotpot_5add61d65542995b365fab21,3625,1716,52.7,10543,False,"A former Soviet statesman, Mikhail Gorbachev, initiated the ",False,A former Soviet statesman initiated the World Summit of Nobe
hotpot_5a8b20335542996c9b8d5fb3,3685,1730,53.1,10735,False,"The distinction held by Tyrone Curtis ""Muggsy"" Bogues is tha",False,Muggsy Bogues is distinguished as the shortest player in NBA
hotpot_5a8361b65542992ef85e22a0,3505,1677,52.2,11188,True,Vince Phillips held a junior welterweight title by an organi,True,Vince Phillips held a junior welterweight title by an organi
hotpot_5ae7ba7a5542993210983f12,3582,1668,53.4,10645,True,"The singer is Usher, and his song ""Yeah!"" was stuck behind f",True,"The singer is Usher, and his song ""Yeah!"" was stuck behind f"
hotpot_5a88658955429938390d3f47,3432,1596,53.5,10591,False,Rostker v. Goldberg held that the practice of requiring only,False,Rostker v. Goldberg held that the practice of requiring only
hotpot_5a8e0a005542995085b373a1,3448,1642,52.4,10487,True,"Bordan Tkachuk was the CEO of Viglen, which provides IT prod",False,"Bordan Tkachuk was the CEO of Viglen, which provides IT prod"
hotpot_5ae738f75542991bbc9761c4,3330,1558,53.2,10537,False,"Champ Bailey, the brother of Boss Bailey, was drafted by the",False,The brother of the first round draft pick by the Washington 
hotpot_5ae73c065542991e8301cc18,3410,1604,53.0,11185,False,The Eminem album that included vocals from a singer who had ,False,The Eminem album that included vocals from a singer who had 
hotpot_5ac1c6805542994ab5c67e11,4012,1886,53.0,11692,True,"Rankin/Bass Productions, the production company for The Year",False,"The production company for The Year Without a Santa Claus, R"
hotpot_5ab4e3065542990594ba9cb4,3660,1726,52.8,10918,True,"Both Truth in Science and Discovery embrace the ""Teach the C",True,"Both Truth in Science and Discovery embrace the ""Teach the C"
hotpot_5ae748d1554299572ea547b0,4637,2193,52.7,11519,True,Marcus Wayne Garland spent nine seasons with the Baltimore O,True,The American League was established in 1901.
hotpot_5ac547525542993e66e822a3,3833,1805,52.9,11209,True,"In 2017, 3/4th of the FDA budget (approximately $700 million",False,"In 2017, 3/4th of the Food and Drug Administration's budget,"
hotpot_5a7625c7554299109176e668,3177,1509,52.5,12257,False,"Chris Hardwick was a guest on ""The Drop-In"" podcast.",False,"Chris Hardwick was a guest on the ""Drop-In At Will Radio"" po"
hotpot_5a790d8f554299029c4b5eec,3833,1797,53.1,11360,True,George Harrison is the English musician known for both the s,True,George Harrison is the English musician known for both the s
hotpot_5aba65a055429939ce03dcd2,4840,2241,53.7,12019,True,Georges-Henri Bousquet translated the work of a historian wh,True,Georges-Henri Bousquet translated the work of a historian wh
