agent_module,config,task_id,baseline_passed,optimized_passed
bench.agents.research_planner,all-on,hotpot_5a85b2d95542997b5ce40028,1,1
bench.agents.research_planner,all-on,hotpot_5a87ab905542996e4f3088c1,0,0
bench.agents.research_planner,all-on,hotpot_5a7166395542994082a3e814,1,1
bench.agents.research_planner,all-on,hotpot_5ab56e32554299637185c594,0,0
bench.agents.research_planner,all-on,hotpot_5ae0d4c9554299603e418468,0,0
bench.agents.research_planner,all-on,hotpot_5adddccd5542997dc7907069,0,0
bench.agents.research_planner,all-on,hotpot_5abf63f15542997ec76fd3ea,0,0
bench.agents.research_planner,all-on,hotpot_5ab2d3df554299194fa9352c,1,1
bench.agents.research_planner,all-on,hotpot_5a760ab65542994ccc918697,1,1
bench.agents.research_planner,all-on,hotpot_5ab859a955429934fafe6d7b,1,1
bench.agents.research_planner,all-on,hotpot_5add61d65542995b365fab21,0,0
bench.agents.research_planner,all-on,hotpot_5a8b20335542996c9b8d5fb3,0,0
bench.agents.research_planner,all-on,hotpot_5a8361b65542992ef85e22a0,1,1
bench.agents.research_planner,all-on,hotpot_5ae7ba7a5542993210983f12,1,1
bench.agents.research_planner,all-on,hotpot_5a88658955429938390d3f47,0,0
bench.agents.research_planner,all-on,hotpot_5a8e0a005542995085b373a1,1,1
bench.agents.research_planner,all-on,hotpot_5ae738f75542991bbc9761c4,1,1
bench.agents.research_planner,all-on,hotpot_5ae73c065542991e8301cc18,1,1
bench.agents.research_planner,all-on,hotpot_5ac1c6805542994ab5c67e11,0,0
bench.agents.research_planner,all-on,hotpot_5ab4e3065542990594ba9cb4,0,0
bench.agents.research_planner,all-on,hotpot_5ae748d1554299572ea547b0,1,1
bench.agents.research_planner,all-on,hotpot_5ac547525542993e66e822a3,0,0
bench.agents.research_planner,all-on,hotpot_5a7625c7554299109176e668,0,1
bench.agents.research_planner,all-on,hotpot_5a790d8f554299029c4b5eec,1,1
bench.agents.research_planner,all-on,hotpot_5aba65a055429939ce03dcd2,0,0
bench.agents.research_planner,all-on,hotpot_5a75f79555429976ec32bcca,1,0
bench.agents.research_planner,all-on,hotpot_5a8c65a1554299585d9e3680,1,1
bench.agents.research_planner,all-on,hotpot_5ae82ae555429952e35eaa71,1,1
bench.agents.research_planner,all-on,hotpot_5a85cead5542991dd0999ea9,0,0
bench.agents.research_planner,all-on,hotpot_5ab7f97a5542991d322237ef,0,0
bench.agents.research_planner,all-on,hotpot_5ae4563e5542996836b02c7f,0,1
bench.agents.research_planner,all-on,hotpot_5a83a532554299334474606f,0,0
bench.agents.research_planner,all-on,hotpot_5a88e605554299206df2b39c,0,0
bench.agents.research_planner,all-on,hotpot_5a8ee4315542990e94052ba7,1,1
bench.agents.research_planner,all-on,hotpot_5a8cb288554299585d9e3726,1,1
bench.agents.research_planner,all-on,hotpot_5abd0d635542992ac4f381b8,0,1
bench.agents.research_planner,all-on,hotpot_5ae7385d5542992ae0d163da,1,1
bench.agents.research_planner,all-on,hotpot_5a8799c55542996e4f308877,0,1
bench.agents.research_planner,all-on,hotpot_5a8f69b55542997ba9cb324f,0,0
bench.agents.research_planner,all-on,hotpot_5a8488f45542992a431d1a47,0,1
bench.agents.research_planner,all-on,hotpot_5abe689a55429976d4830b16,1,1
bench.agents.research_planner,all-on,hotpot_5ae0d52e554299603e418469,1,1
bench.agents.research_planner,all-on,hotpot_5ab25004554299722f9b4cd7,1,1
bench.agents.research_planner,all-on,hotpot_5ac056385542997d64295a08,1,0
bench.agents.research_planner,all-on,hotpot_5a7252db5542990c210a4104,0,1
bench.agents.research_planner,all-on,hotpot_5abd6bf055429933744ab7c8,0,0
bench.agents.research_planner,all-on,hotpot_5ae1f5a15542997f29b3c1b5,1,1
bench.agents.research_planner,all-on,hotpot_5ade908b55429975fa854f13,0,0
bench.agents.research_planner,all-on,hotpot_5ab626d555429953192ad279,0,0
bench.agents.research_planner,all-on,hotpot_5a7cbf93554299452d57b9f5,1,1
bench.agents.research_planner,all-on,hotpot_5ae1fa2b5542997f29b3c1df,1,1
bench.agents.research_planner,all-on,hotpot_5ae0d7315542990adbacf678,1,1
bench.agents.research_planner,all-on,hotpot_5a7a27ce5542996c55b2dd28,1,1
bench.agents.research_planner,all-on,hotpot_5a78bc6b554299148911f979,0,0
bench.agents.research_planner,all-on,hotpot_5a82fe5055429966c78a6ad3,0,1
bench.agents.research_planner,all-on,hotpot_5abcf2b4554299700f9d7937,1,1
bench.agents.research_planner,all-on,hotpot_5ae69e3f5542996d980e7c61,1,1
bench.agents.research_planner,all-on,hotpot_5ade99295542992fa25da7d8,1,1
bench.agents.research_planner,all-on,hotpot_5a9052765542995651fb513d,0,0
bench.agents.research_planner,all-on,hotpot_5ab266b5554299340b5254b4,1,1
bench.agents.research_planner,all-on,hotpot_5ae7eb3c5542994a481bbe20,1,1
bench.agents.research_planner,all-on,hotpot_5ae0a54e5542993d6555ebdd,0,0
bench.agents.research_planner,all-on,hotpot_5a866e7e554299211dda2b29,1,0
bench.agents.research_planner,all-on,hotpot_5aba14195542994dbf0198a9,1,1
bench.agents.research_planner,all-on,hotpot_5a8752955542994775f607d1,1,1
bench.agents.research_planner,all-on,hotpot_5ac048ea554299294b218f74,1,1
bench.agents.research_planner,all-on,hotpot_5ae1b2b9554299422ee99684,0,1
bench.agents.research_planner,all-on,hotpot_5adcfbf45542990d50227d86,0,0
bench.agents.research_planner,all-on,hotpot_5ab30d1155429976abd1bc3d,0,0
bench.agents.research_planner,all-on,hotpot_5ae363ff5542992f92d822bc,1,1
bench.agents.research_planner,all-on,hotpot_5ab84d5a55429916710eb028,1,1
bench.agents.research_planner,all-on,hotpot_5a74581555429979e2882912,1,1
bench.agents.research_planner,all-on,hotpot_5a84574455429933447460e6,1,1
bench.agents.research_planner,all-on,hotpot_5abdf1fe55429976d4830a31,1,0
bench.agents.research_planner,all-on,hotpot_5ac51a055542994611c8b390,1,1
bench.agents.research_planner,all-on,hotpot_5ae0a6ea5542993d6555ebe9,1,1
bench.agents.research_planner,all-on,hotpot_5a7265825542997f827839a3,0,0
bench.agents.research_planner,all-on,hotpot_5ae135fb55429920d523431f,0,1
bench.agents.research_planner,all-on,hotpot_5a8f0a01554299458435d539,1,1
bench.agents.research_planner,all-on,hotpot_5a77d65055429949eeb29f7b,0,0
bench.agents.research_planner,all-on,hotpot_5adf17f95542995ec70e8f6c,0,0
