task_id,method,tokens_before,tokens_after,reduction_pct,compression_ms,answer,passed
hotpot_5a85b2d95542997b5ce40028,llmlingua2,3176,1492,53.0,11729.7,N/A,False
hotpot_5a87ab905542996e4f3088c1,llmlingua2,5229,2433,53.5,12119.4,N/A,False
hotpot_5a7166395542994082a3e814,llmlingua2,3476,1649,52.6,10420.0,N/A,False
hotpot_5ab56e32554299637185c594,llmlingua2,4938,2324,52.9,12697.0,N/A,False
hotpot_5ae0d4c9554299603e418468,llmlingua2,3093,1470,52.5,10636.6,N/A,False
hotpot_5adddccd5542997dc7907069,llmlingua2,3808,1800,52.7,10994.2,N/A,False
hotpot_5abf63f15542997ec76fd3ea,llmlingua2,3168,1470,53.6,10425.6,N/A,False
hotpot_5ab2d3df554299194fa9352c,llmlingua2,3238,1477,54.4,10280.4,N/A,False
hotpot_5a760ab65542994ccc918697,llmlingua2,4414,2082,52.8,10876.7,N/A,False
hotpot_5ab859a955429934fafe6d7b,llmlingua2,4053,1901,53.1,10540.7,N/A,False
hotpot_5add61d65542995b365fab21,llmlingua2,3625,1716,52.7,10459.1,N/A,False
hotpot_5a8b20335542996c9b8d5fb3,llmlingua2,3685,1730,53.1,10318.9,N/A,False
hotpot_5a8361b65542992ef85e22a0,llmlingua2,3505,1677,52.2,10660.0,N/A,False
hotpot_5ae7ba7a5542993210983f12,llmlingua2,3582,1668,53.4,10127.1,N/A,False
hotpot_5a88658955429938390d3f47,llmlingua2,3432,1596,53.5,10196.6,N/A,False
hotpot_5a8e0a005542995085b373a1,llmlingua2,3448,1642,52.4,10129.9,N/A,False
hotpot_5ae738f75542991bbc9761c4,llmlingua2,3330,1558,53.2,10554.0,N/A,False
hotpot_5ae73c065542991e8301cc18,llmlingua2,3410,1604,53.0,10050.5,N/A,False
hotpot_5ac1c6805542994ab5c67e11,llmlingua2,4012,1886,53.0,10510.1,N/A,False
hotpot_5ab4e3065542990594ba9cb4,llmlingua2,3660,1726,52.8,10142.1,N/A,False
