agent_module,config,task_id,baseline_passed,optimized_passed
bench.agents.analyst_qa,StateDrop-only,squad-56be4db0acb8001400a502ec,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56be4db0acb8001400a502ed,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56be4db0acb8001400a502ee,0,0
bench.agents.analyst_qa,StateDrop-only,squad-56be4db0acb8001400a502ef,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56be4db0acb8001400a502f0,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56be8e613aeaaa14008c90d1,1,0
bench.agents.analyst_qa,StateDrop-only,squad-56be8e613aeaaa14008c90d2,1,0
bench.agents.analyst_qa,StateDrop-only,squad-56be8e613aeaaa14008c90d3,1,0
bench.agents.analyst_qa,StateDrop-only,squad-56bea9923aeaaa14008c91ba,1,0
bench.agents.analyst_qa,StateDrop-only,squad-56bea9923aeaaa14008c91bb,1,0
bench.agents.analyst_qa,StateDrop-only,squad-56beace93aeaaa14008c91df,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56beace93aeaaa14008c91e0,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56beace93aeaaa14008c91e1,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56beace93aeaaa14008c91e2,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56beace93aeaaa14008c91e3,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bf10f43aeaaa14008c94fd,0,0
bench.agents.analyst_qa,StateDrop-only,squad-56bf10f43aeaaa14008c94ff,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bf10f43aeaaa14008c9500,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bf10f43aeaaa14008c9501,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56d20362e7d4791d009025e8,0,0
bench.agents.analyst_qa,StateDrop-only,squad-56d20362e7d4791d009025e9,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56d20362e7d4791d009025ea,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56d600e31c85041400946eae,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56d600e31c85041400946eb0,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56d600e31c85041400946eb1,0,0
bench.agents.analyst_qa,StateDrop-only,squad-56d9895ddc89441400fdb50e,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56d9895ddc89441400fdb510,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56be4e1facb8001400a502f6,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56be4e1facb8001400a502f9,0,0
bench.agents.analyst_qa,StateDrop-only,squad-56be4e1facb8001400a502fa,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56beaa4a3aeaaa14008c91c2,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56beaa4a3aeaaa14008c91c3,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bead5a3aeaaa14008c91e9,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bead5a3aeaaa14008c91ea,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bead5a3aeaaa14008c91eb,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bead5a3aeaaa14008c91ec,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bead5a3aeaaa14008c91ed,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bf159b3aeaaa14008c9507,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bf159b3aeaaa14008c9508,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bf159b3aeaaa14008c9509,1,1
bench.agents.analyst_qa,StateDrop-only,squad-56bf159b3aeaaa14008c950a,0,0
